year,month,day,max_tmp
2015,07,13,30.600
2015,07,14,31.600
2015,07,15,29.600
2015,07,16,29.400
2015,07,17,30.200
2015,07,18,31.000
2015,07,19,29.900
2015,07,20,
2015,07,21,
2015,07,22,
2015,07,23,30.600
2015,07,24,30.200
2015,07,25,30.600
2015,07,26,29.900
2015,07,27,30.200
2015,07,28,30.600
2015,07,29,30.900
2015,07,30,30.100
2015,07,31,32.000
2015,08,01,30.600
2015,08,02,30.800
2015,08,03,31.100
2015,08,04,30.900
2015,08,05,31.400
2015,08,06,30.600
2015,08,07,31.800
2015,08,08,31.800
2015,08,09,31.000
2015,08,10,30.500
2015,08,11,31.200
2015,08,12,32.000
2015,08,13,31.500
2015,08,14,31.200
2015,08,15,31.400
2015,08,16,31.500
2015,08,17,30.400
2015,08,18,30.300
2015,08,19,30.400
2015,08,20,31.600
2015,08,21,30.100
2015,08,22,30.700
2015,08,23,30.000
2015,08,24,30.800
2015,08,25,30.700
2015,08,26,30.600
2015,08,27,30.300
2015,08,28,30.900
2015,08,29,31.200
2015,08,30,31.300
2015,08,31,31.200
2015,09,01,29.700
2015,09,02,30.500
2015,09,03,30.700
2015,09,04,31.200
2015,09,05,30.200
2015,09,06,31.000
2015,09,07,31.000
2015,09,08,30.800
2015,09,09,32.000
2015,09,10,32.200
2015,09,11,31.300
2015,09,12,30.300
2015,09,13,30.600
2015,09,14,31.500
2015,09,15,32.000
2015,09,16,31.400
2015,09,17,31.200
2015,09,18,31.500
2015,09,19,30.800
2015,09,20,30.900
2015,09,21,31.100
2015,09,22,31.200
2015,09,23,31.700
2015,09,24,31.500
2015,09,25,31.400
2015,09,26,31.400
2015,09,27,31.700
2015,09,28,31.200
2015,09,29,31.600
2015,09,30,31.300
2015,10,01,32.300
2015,10,02,31.700
2015,10,03,31.400
2015,10,04,31.400
2015,10,05,32.200
2015,10,06,31.900
2015,10,07,31.000
2015,10,08,31.400
2015,10,09,31.100
2015,10,10,31.400
2015,10,11,31.900
2015,10,12,
2015,10,13,32.600
2015,10,14,32.400
2015,10,15,
2015,10,16,31.800
2015,10,17,32.100
2015,10,18,32.400
2015,10,19,31.600
2015,10,20,31.900
2015,10,21,31.700
2015,10,22,31.600
2015,10,23,31.500
2015,10,24,31.800
2015,10,25,32.400
2015,10,26,
2015,10,27,
2015,10,28,
2015,10,29,31.400
