dia,M_3,F_3,O_3
2016-04-29,121,58,0.0
2016-04-30,81,40,0.0
2016-05-01,86,57,0.0
2016-05-02,130,69,0.0
2016-05-03,176,84,0.0
2016-05-04,177,70,0.0
2016-05-05,143,71,0.0
2016-05-06,171,73,0.0
2016-05-07,127,58,0.0
2016-05-08,87,78,0.0
2016-05-09,166,67,0.0
2016-05-10,174,77,0.0
2016-05-11,170,67,0.0
2016-05-12,166,63,0.0
2016-05-13,269,108,1.0
2016-05-14,165,77,0.0
2016-05-15,108,58,0.0
2016-05-16,184,87,0.0
2016-05-17,214,128,0.0
2016-05-18,210,90,0.0
2016-05-19,233,138,0.0
2016-05-20,155,75,0.0
2016-05-21,162,66,0.0
2016-05-22,129,123,1.0
2016-05-23,158,126,0.0
2016-05-24,168,93,0.0
2016-05-25,167,92,0.0
2016-05-26,123,86,0.0
2016-05-27,127,52,0.0
2016-05-28,95,78,0.0
2016-05-29,143,120,1.0
2016-05-30,207,91,0.0
2016-05-31,266,100,1.0
2016-06-01,298,121,0.0
2016-06-02,208,104,0.0
2016-06-03,222,92,1.0
2016-06-04,190,82,0.0
2016-06-05,155,117,0.0
2016-06-06,273,171,0.0
2016-06-07,240,102,0.0
2016-06-08,218,104,0.0
2016-06-09,232,107,0.0
2016-06-10,188,123,0.0
2016-06-11,159,101,0.0
2016-06-12,141,88,0.0
2016-06-13,179,86,0.0
2016-06-14,228,123,0.0
2016-06-15,240,138,0.0
2016-06-16,231,116,0.0
2016-06-17,183,106,0.0
2016-06-18,206,89,0.0
2016-06-19,152,90,0.0
2016-06-20,195,79,0.0
2016-06-21,163,138,0.0
2016-06-22,245,106,0.0
2016-06-23,216,107,0.0
2016-06-24,192,94,0.0
2016-06-25,114,67,0.0
2016-06-26,123,80,0.0
2016-06-27,210,119,1.0
2016-06-28,195,131,0.0
2016-06-29,197,90,0.0
2016-06-30,185,129,0.0
2016-07-01,235,114,0.0
2016-07-02,139,76,0.0
2016-07-03,102,74,0.0
2016-07-04,145,78,0.0
2016-07-05,129,72,0.0
2016-07-06,144,77,0.0
2016-07-07,193,81,0.0
2016-07-08,160,85,0.0
2016-07-09,122,80,0.0
2016-07-10,100,77,0.0
2016-07-11,171,95,0.0
2016-07-12,158,106,0.0
2016-07-13,179,83,0.0
2016-07-14,133,71,0.0
2016-07-15,148,74,0.0
2016-07-16,110,60,0.0
2016-07-17,85,77,1.0
2016-07-18,148,74,1.0
2016-07-19,144,96,0.0
2016-07-20,167,76,1.0
2016-07-21,210,104,0.0
2016-07-22,149,79,1.0
2016-07-23,92,53,1.0
2016-07-24,94,67,0.0
2016-07-25,119,71,0.0
2016-07-26,123,52,1.0
2016-07-27,167,95,1.0
2016-07-28,163,88,1.0
2016-07-29,158,78,1.0
2016-07-30,90,79,1.0
2016-07-31,131,75,0.0
2016-08-01,192,108,0.0
2016-08-02,158,90,0.0
2016-08-03,178,100,0.0
2016-08-04,155,95,0.0
2016-08-05,155,59,0.0
2016-08-06,142,75,0.0
2016-08-07,130,83,0.0
2016-08-08,163,85,0.0
2016-08-09,162,95,0.0
2016-08-10,184,91,1.0
2016-08-11,173,82,1.0
2016-08-12,149,79,0.0
2016-08-13,134,62,0.0
2016-08-14,130,90,1.0
2016-08-15,131,93,0.0
2016-08-16,173,82,0.0
2016-08-17,155,97,0.0
2016-08-18,167,86,0.0
2016-08-19,220,106,0.0
2016-08-20,102,76,0.0
2016-08-21,107,57,0.0
2016-08-22,206,105,0.0
2016-08-23,195,99,0.0
2016-08-24,207,110,0.0
2016-08-25,163,95,0.0
2016-08-26,163,73,0.0
2016-08-27,149,71,0.0
2016-08-28,123,79,0.0
2016-08-29,202,95,0.0
2016-08-30,222,121,0.0
2016-08-31,214,88,0.0
2016-09-01,186,97,0.0
2016-09-02,174,123,0.0
2016-09-03,107,67,1.0
2016-09-04,111,71,0.0
2016-09-05,192,95,0.0
2016-09-06,167,88,1.0
2016-09-07,121,55,1.0
2016-09-08,183,95,0.0
2016-09-09,204,97,0.0
2016-09-10,132,48,0.0
2016-09-11,106,70,0.0
2016-09-12,196,113,0.0
2016-09-13,204,94,0.0
2016-09-14,190,96,1.0
2016-09-15,223,95,0.0
2016-09-16,225,111,0.0
2016-09-17,132,70,1.0
2016-09-18,132,67,0.0
2016-09-19,213,89,0.0
2016-09-20,247,124,0.0
2016-09-21,245,118,0.0
2016-09-22,243,91,0.0
2016-09-23,208,104,1.0
2016-09-24,142,98,0.0
2016-09-25,153,94,0.0
2016-09-26,244,91,0.0
2016-09-27,208,121,0.0
2016-09-28,230,115,0.0
2016-09-29,208,113,0.0
2016-09-30,201,97,0.0
2016-10-01,125,67,0.0
2016-10-02,100,73,0.0
2016-10-03,180,96,0.0
2016-10-04,225,104,0.0
2016-10-05,217,110,0.0
2016-10-06,201,89,0.0
2016-10-07,164,109,0.0
2016-10-08,147,90,0.0
2016-10-09,111,94,0.0
2016-10-10,177,103,0.0
2016-10-11,207,81,0.0
2016-10-12,145,98,0.0
2016-10-13,150,101,0.0
2016-10-14,194,70,0.0
2016-10-15,154,59,0.0
2016-10-16,106,59,0.0
2016-10-17,148,74,0.0
2016-10-18,163,103,0.0
2016-10-19,170,83,0.0
2016-10-20,167,76,0.0
2016-10-21,134,66,0.0
2016-10-22,97,43,0.0
2016-10-23,102,56,0.0
2016-10-24,150,65,0.0
2016-10-25,139,65,0.0
2016-10-26,254,131,0.0
2016-10-27,140,75,0.0
2016-10-28,160,85,0.0
2016-10-29,102,59,0.0
2016-10-30,83,44,0.0
2016-10-31,153,71,0.0
2016-11-01,163,70,0.0
2016-11-02,81,75,0.0
2016-11-03,158,66,0.0
2016-11-04,167,63,0.0
2016-11-05,80,30,0.0
2016-11-06,99,44,0.0
2016-11-07,104,47,1.0
2016-11-08,126,57,0.0
2016-11-09,133,70,0.0
2016-11-10,161,65,0.0
2016-11-11,133,48,0.0
2016-11-12,107,55,1.0
2016-11-13,106,64,0.0
