,id,stationName,lat,lon,program,adress,neighborhood,nbOnMap
71,72,Salinas,-3.7630906,-38.483122,Bicicletar,"Avenida Washington Soares, no acesso a Passarela de Pedestres, oposto ao Centro de Eventos do Ceará / Esquina Rua Firmino Rocha Aguiar",Edson Queiroz,
72,73,FIC Guararapes,-3.7640658,-38.486035,Bicicletar,"Rua Eliseu Uchôa Beco, em frente à FIC / Entre a Rua Firmino Rocha Aguiar e a Rua Romeu Aldigueri",Patriolino Ribeiro,
73,74,Unifor,-3.7712492,-38.481941,Bicicletar,"Canteiro Central da Avenida Washington Soares, próximo a UNIFOR / Esquina com a Avenida Doutor Valmir Ponte",Edson Queiroz,
74,75,Santa Cecília,-3.7436466,-38.495549,Bicicletar,"Rua Vicente Linhares, lateral Colégio Santa Cecília / Esquina com a Avenida Senador Virgílio Távora",Aldeota,
75,76,Fórum,-3.7742715,-38.481848,Bicicletar,Canteiro central da Av. Washington Soares / Esquina Rua Otacílio Mota,Eng. Luciano Cavalcante,
76,77,Faculdade Lourenço Filho,-3.736277,-38.531469,Bicicletar,"Rua Barão do Rio Branco, lateral do Power Turbo Pneus / Esquina Avenida Domingos Olímpio",José Bonifácio,
77,78,Calçadão Crasa,-3.7282524,-38.545217,Bicicletar,"Avenida José Jatahy, em frente a Mitsubishi, no calçadão Crasa / Esquina com a Travessa Epifânio Leite",Jacarecanga,
78,79,Liceu do Ceará,-3.7236534,-38.541337,Bicicletar,"Avenida Filomeno Gomes, oposto ao número 100 (Padaria Pão da Praça) / Em frente a Praça Gustavo Barroso",Jacarecanga,
79,80,SENAI Jacarecanga,-3.7260305,-38.540672,Bicicletar,"Rua Padre Ibiapina, em frente ao SENAI / Esquina com a Rua Júlio Pinto",Jacarecanga,
80,81,Amostra,-8.1081768,-34.92279,Bicicletar,"Avenida Pontes Vieira, 2391",São João do Tauape,
81,82,Polo de Lazer Sargento Hermínio,-3.726356,-38.558138,Minibicicletar,"Avenida Sargento Hermínio, no Polo de Lazer Sargento Hermínio, em frente ao Posto da Guarda Municipal / Esquina com a Rua Doutor Almeida Filho",Monte Castelo,Sao Geraldo
82,83,Aterrinho Praia de Iracema,-3.7199961,-38.511796,Minibicicletar,"Avenida Beira Mar, 4364 / Esquina com a Rua Tereza Hinko",Praia de Iracema,
83,84,Praça Luíza Távora,-3.7321623,-38.509917,Minibicicletar,"Avenida Santos Dumont, oposto ao número 1546, ao lado da Coord. do Gov. do Estado do Ceará / Esquina com a Carlos Vasconcelos",Aldeota,Aldeota
84,85,Praça das Flores,-3.739994,-38.498786,Minibicicletar,"Praça das Flores, na Avenida Padre Antonio Tomas, próximo ao Playground e Academia da UNIMED / Esquina com a R. Barbosa de Freitas",Aldeota,
85,86,Lago Jacarey,-3.8010878,-38.488875,Minibicicletar,"Avenida Viena Weyne, próximo ao Restaurante Point do Lago / Esquina com a Avenida Pedro Lazar",Cidade dos Funcionários,
