dia,x,y
2016-09-05,1720,841
2016-09-06,1748,818
2016-09-07,1252,723
2016-09-08,1892,811
2016-09-09,1796,829
2016-09-10,1279,680
2016-09-11,1094,716
2016-09-12,1742,846
2016-09-13,1843,878
2016-09-14,1832,850
2016-09-15,1730,800
2016-09-16,1783,779
2016-09-17,1183,627
2016-09-18,1168,773
2016-09-19,1781,807
2016-09-20,1749,822
2016-09-21,1828,916
2016-09-22,1761,836
2016-09-23,1774,746
2016-09-24,1183,703
2016-09-25,1187,786
2016-09-26,1668,779
2016-09-27,1771,808
2016-09-28,1837,908
2016-09-29,1696,754
2016-09-30,1660,715
2016-10-01,1085,644
2016-10-02,930,613
2016-10-03,1591,789
2016-10-04,1724,816
2016-10-05,1637,845
2016-10-06,1581,806
2016-10-07,1659,731
2016-10-08,1242,654
2016-10-09,1080,744
2016-10-10,1570,734
2016-10-11,1651,791
2016-10-12,1167,729
2016-10-13,1617,759
2016-10-14,1602,731
2016-10-15,1154,621
2016-10-16,1064,701
2016-10-17,1547,736
2016-10-18,1611,753
2016-10-19,1585,764
2016-10-20,1519,698
2016-10-21,1526,707
2016-10-22,1123,573
2016-10-23,1032,657
2016-10-24,1369,737
2016-10-25,1489,706
2016-10-26,1542,663
2016-10-27,1557,708
2016-10-28,1444,674
2016-10-29,1140,536
2016-10-30,948,649
2016-10-31,1542,612
2016-11-01,1531,652
2016-11-02,1096,737
2016-11-03,1535,633
2016-11-04,1533,581
2016-11-05,972,434
2016-11-06,940,589
2016-11-07,1431,615
2016-11-08,1397,602
2016-11-09,1363,619
2016-11-10,1506,615
2016-11-11,1427,599
2016-11-12,1104,531
2016-11-13,981,565
2016-11-14,1624,777
2016-11-15,1079,656
2016-11-16,1642,673
2016-11-17,1636,705
2016-11-18,1561,603
2016-11-19,1130,480
2016-11-20,962,549
2016-11-21,1276,577
2016-11-22,1571,707
2016-11-23,1434,615
2016-11-24,1436,655
2016-11-25,1388,550
2016-11-26,966,498
2016-11-27,935,591
2016-11-28,1340,592
2016-11-29,1298,579
2016-11-30,1300,643
2016-12-01,1258,573
2016-12-02,1248,460
2016-12-03,855,377
2016-12-04,826,492
2016-12-05,1285,590
2016-12-06,1283,515
2016-12-07,1343,545
2016-12-08,1197,490
2016-12-09,1158,471
2016-12-10,806,370
2016-12-11,778,504
2016-12-12,1143,529
2016-12-13,1097,540
2016-12-14,1131,505
2017-01-01,423,226
2017-01-02,878,529
2017-01-03,1038,513
2017-01-04,1079,517
2017-01-05,1104,574
2017-01-06,996,503
2017-01-07,767,449
2017-01-08,611,326
2017-01-09,1117,580
2017-01-10,1178,626
2017-01-11,928,523
2017-01-12,1141,627
2017-01-13,1123,560
2017-01-14,846,457
2017-01-15,836,544
2017-01-16,1193,614
2017-01-17,1156,653
2017-01-18,1135,558
2017-01-19,1103,552
2017-01-20,1046,508
2017-01-21,824,444
2017-01-22,692,484
2017-01-23,1003,564
2017-01-24,1161,614
2017-01-25,1144,551
2017-01-26,1113,581
2017-01-27,1086,501
2017-01-28,700,350
2017-01-29,784,474
2017-01-30,1120,495
2017-01-31,982,406
2017-02-01,884,396
2017-02-02,1066,442
2017-02-03,1026,427
2017-02-04,741,381
2017-02-05,725,436
2017-02-06,1035,429
2017-02-07,1008,508
2017-02-08,1038,529
2017-02-09,1151,542
2017-02-10,1019,421
2017-02-11,546,281
2017-02-12,741,462
2017-02-13,861,347
2017-02-14,956,435
2017-02-15,1103,489
2017-02-16,1103,514
2017-02-17,783,323
2017-02-18,726,339
2017-02-19,517,308
2017-02-20,872,405
2017-02-21,934,422
2017-02-22,1003,448
2017-02-23,1040,439
2017-02-24,970,387
2017-02-25,558,300
2017-02-26,520,307
2017-02-27,412,246
2017-02-28,521,298
2017-03-01,562,338
2017-03-02,842,360
2017-03-03,799,293
2017-03-04,653,361
2017-03-05,688,392
2017-03-06,1091,459
2017-03-07,992,405
2017-03-08,914,379
2017-03-09,650,273
2017-03-10,793,339
2017-03-11,636,337
2017-03-12,626,358
2017-03-13,828,345
2017-03-14,936,377
2017-03-15,1031,434
2017-03-16,997,438
2017-03-17,977,442
2017-03-18,707,377
2017-03-19,650,434
2017-03-20,982,345
2017-03-21,1040,404
