F_0,M_0,O_0,dia
25.95045928725702,24.01499801833777,0.0,2015-08-04
27.251647566235366,22.50169842303241,0.0,2015-08-05
30.057467189421892,24.95389282780411,0.0,2015-08-06
27.788580648769575,24.983125616994688,39.79716666666667,2015-08-07
33.229725688073394,28.795358298850573,27.35925625,2015-08-08
53.549923195229134,42.53141687384898,0.0,2015-08-09
28.11513587458746,23.182321813073056,0.0,2015-08-10
25.301668166666666,22.545002688172044,26.851166666666668,2015-08-11
29.159932276755285,23.552965183486236,28.047783333333335,2015-08-12
28.145190642076503,21.76549137826351,44.334833333333336,2015-08-13
27.46767715803453,23.268819302325582,0.0,2015-08-14
42.36410848733744,34.0636248513946,21.014112500000003,2015-08-15
53.346506677436736,53.17738881578946,22.866999999999997,2015-08-16
32.104303804797354,26.198600314465413,0.0,2015-08-17
31.040678099415207,25.822530025996535,0.0,2015-08-18
30.220422164048863,26.084476430068882,17.51195,2015-08-19
27.315909860050894,25.753838246376812,18.810283333333334,2015-08-20
26.682038397790052,23.485272119613015,103.96183333333333,2015-08-21
34.11725161411412,28.208002051282055,38.55059666666667,2015-08-22
54.38368438818565,47.638945337690636,38.76300833333333,2015-08-23
27.74142786998617,21.868655653382763,0.0,2015-08-24
29.976361574074076,22.026455237688587,25.34075,2015-08-25
25.374486091954022,24.13038468822844,9.336216666666667,2015-08-26
26.163102175303905,22.74695911524373,0.0,2015-08-27
28.97591183621241,26.95655627030539,0.0,2015-08-28
31.370606832543444,28.94188008547009,7.06445,2015-08-29
54.00240707317074,48.51996420700512,38.620333333333335,2015-08-30
69.63671067708334,120.97143482676223,4.4211,2015-08-31
55.67210657726693,41.35990562893082,55.20271666666667,2015-09-01
27.506815805243445,26.037555008460238,25.733674999999998,2015-09-02
30.294773529411763,23.671210015649454,62.39691666666667,2015-09-03
32.12686870175439,22.913165670103094,29.92503333333333,2015-09-04
33.74344984089101,30.98626902758298,121.257,2015-09-05
53.632342309711284,48.118278106373225,64.10987222222222,2015-09-06
48.201425986394554,40.13065966386555,37.247055555555555,2015-09-07
30.508099301587297,22.338131505060396,4.581333333333333,2015-09-08
27.40689123931624,26.768566106585197,14.304083333333335,2015-09-09
30.540041728167285,22.103111466910644,76.93523333333333,2015-09-10
29.990483062015507,25.237717975139024,47.3455,2015-09-11
34.01679882783883,25.53151073797678,76.09366666666666,2015-09-12
48.3657045,44.93702934362934,109.09716666666667,2015-09-13
27.541800719942405,21.12215537202381,0.0,2015-09-14
30.064193371574248,24.25953375034751,14.332641666666667,2015-09-15
