year,month,day,avg_tmp
2015,03,19,27.517
2015,03,20,27.825
2015,03,21,25.833
2015,03,22,25.683
2015,03,23,25.346
2015,03,24,26.033
2015,03,25,26.737
2015,03,26,27.425
2015,03,27,26.804
2015,03,28,27.154
2015,03,29,27.708
2015,03,30,26.165
2015,03,31,26.504
2015,04,01,26.767
2015,04,02,25.438
2015,04,03,
2015,04,04,25.883
2015,04,05,26.658
2015,04,06,27.583
2015,04,07,27.954
2015,04,08,27.771
2015,04,09,26.517
2015,04,10,26.817
2015,04,11,27.221
2015,04,12,27.488
2015,04,13,25.421
2015,04,14,
2015,04,15,27.283
2015,04,16,27.342
2015,04,17,27.246
2015,04,18,27.688
2015,04,19,27.558
2015,04,20,26.942
2015,04,21,26.783
2015,04,22,27.112
2015,04,23,25.746
2015,04,24,
2015,04,25,27.037
2015,04,26,27.579
2015,04,27,27.621
2015,04,28,27.742
2015,04,29,27.342
2015,04,30,27.663
2015,05,01,27.725
2015,05,02,28.067
2015,05,03,27.642
2015,05,04,27.529
2015,05,05,27.400
2015,05,06,27.762
2015,05,07,27.463
2015,05,08,27.571
2015,05,09,27.333
2015,05,10,27.838
2015,05,11,27.825
2015,05,12,27.275
2015,05,13,27.450
2015,05,14,28.192
2015,05,15,28.033
2015,05,16,28.283
2015,05,17,28.225
2015,05,18,27.754
2015,05,19,27.717
2015,05,20,28.104
2015,05,21,28.304
2015,05,22,28.233
2015,05,23,27.458
2015,05,24,27.558
2015,05,25,28.304
2015,05,26,26.762
2015,05,27,27.742
2015,05,28,27.637
2015,05,29,27.696
2015,05,30,27.346
2015,05,31,27.167
2015,06,01,27.317
2015,06,02,27.100
2015,06,03,28.033
2015,06,04,26.408
2015,06,05,26.650
2015,06,06,27.188
2015,06,07,27.508
2015,06,08,26.246
2015,06,09,26.258
2015,06,10,27.458
2015,06,11,27.858
2015,06,12,27.325
2015,06,13,27.363
2015,06,14,26.837
2015,06,15,27.300
2015,06,16,27.158
2015,06,17,26.792
2015,06,18,26.446
2015,06,19,26.517
2015,06,20,27.125
2015,06,21,27.283
2015,06,22,27.550
2015,06,23,25.900
2015,06,24,26.225
2015,06,25,25.592
2015,06,26,25.929
2015,06,27,26.592
2015,06,28,26.933
2015,06,29,26.783
2015,06,30,26.250
2015,07,01,26.663
2015,07,02,27.029
2015,07,03,25.317
2015,07,04,26.225
2015,07,05,
2015,07,06,26.137
2015,07,07,26.679
2015,07,08,25.592
2015,07,09,26.354
2015,07,10,26.762
2015,07,11,27.117
2015,07,12,26.742
2015,07,13,27.142
2015,07,14,26.629
2015,07,15,26.963
2015,07,16,26.104
2015,07,17,
2015,07,18,26.154
2015,07,19,26.625
2015,07,20,27.117
2015,07,21,26.679
2015,07,22,26.646
2015,07,23,26.821
2015,07,24,26.725
2015,07,25,26.825
2015,07,26,26.596
2015,07,27,25.846
2015,07,28,26.487
2015,07,29,26.554
2015,07,30,26.483
2015,07,31,25.804
2015,08,01,26.225
2015,08,02,26.679
2015,08,03,26.771
2015,08,04,26.904
2015,08,05,26.733
2015,08,06,26.929
2015,08,07,26.746
2015,08,08,26.600
2015,08,09,26.829
2015,08,10,26.746
2015,08,11,26.596
2015,08,12,26.708
2015,08,13,26.662
2015,08,14,26.454
2015,08,15,26.825
2015,08,16,27.104
2015,08,17,26.929
2015,08,18,26.867
2015,08,19,26.404
2015,08,20,26.312
2015,08,21,
2015,08,22,26.625
2015,08,23,26.963
2015,08,24,26.700
2015,08,25,26.975
2015,08,26,27.033
2015,08,27,26.921
2015,08,28,26.833
2015,08,29,26.508
2015,08,30,26.846
2015,08,31,27.042
2015,09,01,26.967
2015,09,02,
2015,09,03,26.704
2015,09,04,27.008
2015,09,05,26.867
2015,09,06,26.758
2015,09,07,27.067
2015,09,08,26.863
2015,09,09,26.896
2015,09,10,27.508
2015,09,11,27.504
2015,09,12,27.579
2015,09,13,26.558
2015,09,14,26.704
2015,09,15,27.562
2015,09,16,27.463
2015,09,17,27.154
2015,09,18,26.971
2015,09,19,27.304
2015,09,20,26.858
2015,09,21,26.908
2015,09,22,27.071
2015,09,23,27.121
2015,09,24,27.617
2015,09,25,27.033
2015,09,26,27.192
2015,09,27,27.188
2015,09,28,27.183
2015,09,29,27.225
2015,09,30,27.500
2015,10,01,27.088
2015,10,02,27.654
2015,10,03,27.321
2015,10,04,27.271
2015,10,05,26.946
2015,10,06,27.425
2015,10,07,27.608
2015,10,08,27.533
2015,10,09,27.275
2015,10,10,27.329
2015,10,11,27.429
2015,10,12,27.613
2015,10,13,27.863
2015,10,14,28.046
2015,10,15,27.633
2015,10,16,27.721
2015,10,17,27.517
2015,10,18,27.242
2015,10,19,27.454
2015,10,20,27.529
2015,10,21,27.454
2015,10,22,27.417
2015,10,23,27.387
2015,10,24,27.054
2015,10,25,26.967
2015,10,26,27.488
2015,10,27,27.550
2015,10,28,27.512
2015,10,29,27.525
2015,10,30,27.137
2015,10,31,26.917
2015,11,01,27.367
2015,11,02,27.271
2015,11,03,27.733
2015,11,04,27.829
2015,11,05,27.892
2015,11,06,27.604
2015,11,07,27.754
2015,11,08,27.379
2015,11,09,27.438
2015,11,10,27.571
2015,11,11,27.613
2015,11,12,27.346
2015,11,13,27.587
2015,11,14,27.725
2015,11,15,27.921
2015,11,16,27.967
2015,11,17,27.758
2015,11,18,27.700
2015,11,19,27.729
2015,11,20,27.842
2015,11,21,27.708
2015,11,22,28.233
2015,11,23,27.692
2015,11,24,28.179
2015,11,25,28.225
2015,11,26,28.254
2015,11,27,28.025
2015,11,28,28.029
2015,11,29,28.267
2015,11,30,28.600
2015,12,01,28.500
2015,12,02,28.629
2015,12,03,28.467
2015,12,04,28.025
2015,12,05,28.308
2015,12,06,28.083
2015,12,07,28.300
2015,12,08,28.371
2015,12,09,28.729
2015,12,10,28.050
2015,12,11,28.204
2015,12,12,28.496
2015,12,13,28.771
2015,12,14,28.704
2015,12,15,28.179
2015,12,16,28.700
2015,12,17,27.338
2015,12,18,28.238
2015,12,19,28.500
2015,12,20,28.150
2015,12,21,28.254
2015,12,22,28.379
2015,12,23,28.554
2015,12,24,
2015,12,25,27.496
2015,12,26,27.763
2015,12,27,28.363
2015,12,28,
2015,12,29,28.188
2015,12,30,28.733
2015,12,31,28.500
2016,01,01,28.104
2016,01,02,28.387
2016,01,03,28.500
2016,01,04,28.375
2016,01,05,28.417
2016,01,06,28.500
2016,01,07,27.404
2016,01,08,
2016,01,09,
2016,01,10,26.721
2016,01,11,27.825
2016,01,12,28.342
2016,01,13,28.512
2016,01,14,27.779
2016,01,15,27.850
2016,01,16,28.805
2016,01,17,28.713
2016,01,18,
2016,01,19,27.943
2016,01,20,29.400
2016,01,21,
2016,01,22,29.075
2016,01,23,
2016,01,24,29.530
2016,01,25,29.082
2016,01,26,29.282
2016,01,27,29.500
2016,01,28,29.330
2016,01,29,29.250
2016,01,30,29.480
2016,01,31,28.933
2016,02,01,25.950
2016,02,02,28.000
2016,02,03,28.067
2016,02,04,29.414
2016,02,05,30.400
2016,02,06,
2016,02,07,30.720
2016,02,08,28.320
2016,02,09,30.100
2016,02,10,30.475
2016,02,11,30.450
2016,02,12,30.760
2016,02,13,
2016,02,14,30.800
2016,02,15,30.200
2016,02,16,
2016,02,17,
2016,02,18,
2016,02,19,30.150
2016,02,20,26.700
2016,02,21,30.267
2016,02,22,30.780
2016,02,23,29.200
2016,02,24,
2016,02,25,
2016,02,26,30.400
2016,02,27,
2016,02,28,29.100
2016,02,29,
2016,03,01,
2016,03,02,
2016,03,03,
2016,03,04,
2016,03,05,
2016,03,06,
2016,03,07,
2016,03,08,
2016,03,09,
2016,03,10,
2016,03,11,29.938
2016,03,12,28.496
2016,03,13,28.396
2016,03,14,27.562
2016,03,15,27.408
2016,03,16,28.117
2016,03,17,26.808
2016,03,18,27.767
2016,03,19,28.475
2016,03,20,28.363
2016,03,21,28.708
2016,03,22,28.558
2016,03,23,28.458
2016,03,24,28.363
2016,03,25,27.921
2016,03,26,28.504
2016,03,27,28.708
2016,03,28,28.608
2016,03,29,26.725
2016,03,30,26.067
2016,03,31,26.162
2016,04,01,25.446
2016,04,02,
2016,04,03,25.171
2016,04,04,27.480
2016,04,05,
2016,04,06,
2016,04,07,
2016,04,08,29.050
2016,04,09,29.043
2016,04,10,29.265
2016,04,11,26.747
2016,04,12,29.156
2016,04,13,28.232
2016,04,14,28.826
2016,04,15,27.991
2016,04,16,27.895
2016,04,17,27.779
2016,04,18,27.225
2016,04,19,28.438
2016,04,20,28.954
2016,04,21,28.604
2016,04,22,
2016,04,23,27.600
2016,04,24,28.521
2016,04,25,28.087
2016,04,26,28.467
2016,04,27,28.558
2016,04,28,28.425
2016,04,29,27.692
2016,04,30,27.717
2016,05,01,28.404
2016,05,02,27.742
2016,05,03,27.142
2016,05,04,27.567
2016,05,05,27.396
2016,05,06,27.800
2016,05,07,28.479
2016,05,08,28.550
2016,05,09,27.804
2016,05,10,28.283
2016,05,11,26.262
2016,05,12,26.517
2016,05,13,27.379
2016,05,14,27.367
2016,05,15,27.850
2016,05,16,27.845
2016,05,17,
2016,05,18,
2016,05,19,
2016,05,20,
2016,05,21,
2016,05,22,
2016,05,23,
2016,05,24,
2016,05,25,
2016,05,26,
2016,05,27,
2016,05,28,
2016,05,29,
2016,05,30,
2016,05,31,28.625
2016,06,01,
2016,06,02,
2016,06,03,
2016,06,04,
2016,06,05,
2016,06,06,
2016,06,07,
2016,06,08,
2016,06,09,
2016,06,10,
2016,06,11,
2016,06,12,
2016,06,13,
2016,06,14,
2016,06,15,
2016,06,16,
2016,06,17,28.364
2016,06,18,
2016,06,19,
2016,06,20,
2016,06,21,
2016,06,22,
2016,06,23,
2016,06,24,
2016,06,25,
2016,06,26,
2016,06,27,
2016,06,28,27.947
2016,06,29,27.012
2016,06,30,27.075
2016,07,01,27.358
2016,07,02,27.367
2016,07,03,27.433
2016,07,04,26.975
2016,07,05,27.375
2016,07,06,26.029
2016,07,07,27.342
2016,07,08,27.325
2016,07,09,
2016,07,10,27.700
2016,07,11,27.346
2016,07,12,27.496
2016,07,13,27.312
2016,07,14,27.646
2016,07,15,27.804
2016,07,16,27.454
2016,07,17,26.979
2016,07,18,26.596
2016,07,19,27.025
2016,07,20,27.554
2016,07,21,27.346
2016,07,22,27.225
2016,07,23,27.488
2016,07,24,
2016,07,25,27.225
2016,07,26,27.158
2016,07,27,27.188
2016,07,28,26.988
2016,07,29,27.417
2016,07,30,27.242
2016,07,31,27.042
2016,08,01,26.829
2016,08,02,26.921
2016,08,03,27.383
2016,08,04,27.433
2016,08,05,27.009
2016,08,06,27.400
2016,08,07,27.133
2016,08,08,26.962
2016,08,09,27.037
2016,08,10,27.333
2016,08,11,27.075
2016,08,12,26.892
2016,08,13,27.087
2016,08,14,26.588
2016,08,15,27.133
2016,08,16,27.363
2016,08,17,27.204
2016,08,18,27.079
2016,08,19,27.083
2016,08,20,26.883
2016,08,21,26.979
2016,08,22,27.100
2016,08,23,27.346
2016,08,24,
2016,08,25,27.442
2016,08,26,27.158
2016,08,27,27.025
2016,08,28,27.175
2016,08,29,27.167
2016,08,30,
2016,08,31,
2016,09,01,27.750
2016,09,02,27.696
2016,09,03,27.646
2016,09,04,27.629
2016,09,05,27.579
2016,09,06,27.446
2016,09,07,27.225
2016,09,08,27.121
2016,09,09,26.921
2016,09,10,27.579
2016,09,11,26.929
2016,09,12,27.517
2016,09,13,27.317
2016,09,14,27.717
2016,09,15,27.263
2016,09,16,27.758
2016,09,17,27.321
2016,09,18,27.229
2016,09,19,27.188
2016,09,20,27.387
2016,09,21,27.858
2016,09,22,27.700
2016,09,23,27.771
2016,09,24,27.262
2016,09,25,27.154
2016,09,26,27.413
2016,09,27,27.471
2016,09,28,27.883
2016,09,29,27.821
2016,09,30,27.938
2016,10,01,27.333
2016,10,02,27.808
2016,10,03,28.267
2016,10,04,28.350
2016,10,05,27.729
2016,10,06,27.700
2016,10,07,27.229
2016,10,08,27.717
2016,10,09,28.087
2016,10,10,28.133
2016,10,11,28.125
2016,10,12,27.883
2016,10,13,27.704
2016,10,14,28.071
2016,10,15,28.392
2016,10,16,28.042
2016,10,17,28.029
2016,10,18,28.050
2016,10,19,
2016,10,20,27.262
2016,10,21,28.163
2016,10,22,27.667
2016,10,23,28.229
2016,10,24,28.171
2016,10,25,27.925
2016,10,26,28.004
2016,10,27,27.971
2016,10,28,28.108
2016,10,29,28.133
2016,10,30,28.262
2016,10,31,28.329
2016,11,01,
2016,11,02,28.312
2016,11,03,28.588
2016,11,04,28.650
2016,11,05,28.396
2016,11,06,28.250
2016,11,07,28.163
2016,11,08,28.008
2016,11,09,27.475
2016,11,10,28.008
2016,11,11,28.167
2016,11,12,28.042
2016,11,13,27.500
2016,11,14,28.058
2016,11,15,28.213
2016,11,16,27.321
2016,11,17,27.983
2016,11,18,28.200
2016,11,19,28.346
2016,11,20,28.200
2016,11,21,28.467
2016,11,22,28.658
2016,11,23,28.562
2016,11,24,
2016,11,25,28.621
2016,11,26,28.475
2016,11,27,28.425
2016,11,28,28.092
2016,11,29,28.429
2016,11,30,28.383
2016,12,01,28.354
2016,12,02,28.271
2016,12,03,28.488
2016,12,04,28.167
2016,12,05,27.979
2016,12,06,28.121
2016,12,07,28.508
2016,12,08,28.588
2016,12,09,28.658
2016,12,10,28.812
2016,12,11,28.471
2016,12,12,28.529
2016,12,13,28.254
2016,12,14,27.867
2016,12,15,27.942
2016,12,16,27.646
2016,12,17,28.454
2016,12,18,
2016,12,19,27.596
2016,12,20,28.625
2016,12,21,28.175
2016,12,22,28.446
2016,12,23,28.883
2016,12,24,28.296
2016,12,25,28.342
2016,12,26,28.392
2016,12,27,28.929
2016,12,28,28.037
2016,12,29,
2016,12,30,28.262
2016,12,31,27.988
2017,01,01,28.717
2017,01,02,28.275
2017,01,03,27.900
2017,01,04,27.646
2017,01,05,28.158
2017,01,06,28.629
2017,01,07,28.175
2017,01,08,26.779
2017,01,09,26.738
2017,01,10,27.454
2017,01,11,
2017,01,12,27.225
2017,01,13,27.367
2017,01,14,27.204
2017,01,15,27.117
2017,01,16,27.304
2017,01,17,28.242
2017,01,18,27.071
2017,01,19,27.529
2017,01,20,26.629
2017,01,21,27.600
2017,01,22,27.950
2017,01,23,27.700
2017,01,24,28.475
2017,01,25,28.029
2017,01,26,28.679
2017,01,27,27.821
2017,01,28,27.312
2017,01,29,27.842
2017,01,30,28.171
2017,01,31,27.783
2017,02,01,27.575
2017,02,02,28.450
2017,02,03,28.375
2017,02,04,28.242
2017,02,05,28.204
2017,02,06,28.596
2017,02,07,28.896
2017,02,08,28.571
2017,02,09,28.546
2017,02,10,28.579
2017,02,11,
2017,02,12,25.671
2017,02,13,25.471
2017,02,14,27.492
2017,02,15,28.408
2017,02,16,28.312
2017,02,17,26.096
2017,02,18,25.896
2017,02,19,25.358
2017,02,20,
